gare de depart,gare d'arrivee,date de voyage,heure de depart,heure d'arrivee,prix,correspondance 1,correspondance 2,correspondance 3,correspondance 4
TETOUAN SUPRATOURS,ADDAKHLA SUPRATOURS,01/08/2024,,,,,,,
TETOUAN SUPRATOURS,AGADIR (SUPRAT.),01/08/2024,,,,,,,
TETOUAN SUPRATOURS,BENGUERIR,01/08/2024,06h15,12h30,395 DH,correspondance 1 : 07h25 à Gare TANGER VILLE - correspondance 35 Min - départ 08h00,correspondance 2 : 10h10 à Gare CASA VOYAGEURS - correspondance 25 Min - départ 10h35,pas de correspondance,pas de correspondance
TETOUAN SUPRATOURS,BENGUERIR,01/08/2024,10h15,16h30,395 DH,correspondance 1 : 11h25 à Gare TANGER VILLE - correspondance 35 Min - départ 12h00,correspondance 2 : 14h10 à Gare CASA VOYAGEURS - correspondance 25 Min - départ 14h35,pas de correspondance,pas de correspondance
TETOUAN SUPRATOURS,BENGUERIR,01/08/2024,12h15,18h30,395 DH,correspondance 1 : 13h25 à Gare TANGER VILLE - correspondance 35 Min - départ 14h00,correspondance 2 : 16h10 à Gare CASA VOYAGEURS - correspondance 25 Min - départ 16h35,pas de correspondance,pas de correspondance
TETOUAN SUPRATOURS,BENGUERIR,01/08/2024,14h15,20h30,395 DH,correspondance 1 : 15h25 à Gare TANGER VILLE - correspondance 35 Min - départ 16h00,correspondance 2 : 18h10 à Gare CASA VOYAGEURS - correspondance 25 Min - départ 18h35,pas de correspondance,pas de correspondance
TETOUAN SUPRATOURS,BENGUERIR,01/08/2024,16h15,22h30,395 DH,correspondance 1 : 17h25 à Gare TANGER VILLE - correspondance 35 Min - départ 18h00,correspondance 2 : 20h10 à Gare CASA VOYAGEURS - correspondance 25 Min - départ 20h35,pas de correspondance,pas de correspondance
TETOUAN SUPRATOURS,CASA PORT,01/08/2024,,,,,,,
TETOUAN SUPRATOURS,CASA VOYAGEURS,01/08/2024,06h10,10h10,325 DH,correspondance 1 : 06h50 à Gare TANGER VILLE - correspondance 01h10 Min - départ 08h00,pas de correspondance,pas de correspondance,pas de correspondance
TETOUAN SUPRATOURS,CASA VOYAGEURS,01/08/2024,08h15,12h10,325 DH,correspondance 1 : 09h25 à Gare TANGER VILLE - correspondance 35 Min - départ 10h00,pas de correspondance,pas de correspondance,pas de correspondance
TETOUAN SUPRATOURS,CASA VOYAGEURS,01/08/2024,12h15,16h10,325 DH,correspondance 1 : 13h25 à Gare TANGER VILLE - correspondance 35 Min - départ 14h00,pas de correspondance,pas de correspondance,pas de correspondance
TETOUAN SUPRATOURS,CASA VOYAGEURS,01/08/2024,14h15,18h10,325 DH,correspondance 1 : 15h25 à Gare TANGER VILLE - correspondance 35 Min - départ 16h00,pas de correspondance,pas de correspondance,pas de correspondance
TETOUAN SUPRATOURS,CASA VOYAGEURS,01/08/2024,15h15,19h10,325 DH,correspondance 1 : 16h25 à Gare TANGER VILLE - correspondance 35 Min - départ 17h00,pas de correspondance,pas de correspondance,pas de correspondance
TETOUAN SUPRATOURS,CASA VOYAGEURS,01/08/2024,16h15,20h10,325 DH,correspondance 1 : 17h25 à Gare TANGER VILLE - correspondance 35 Min - départ 18h00,pas de correspondance,pas de correspondance,pas de correspondance
TETOUAN SUPRATOURS,CASA VOYAGEURS,01/08/2024,18h15,22h10,325 DH,correspondance 1 : 19h25 à Gare TANGER VILLE - correspondance 35 Min - départ 20h00,pas de correspondance,pas de correspondance,pas de correspondance
TETOUAN SUPRATOURS,EL JADIDA,01/08/2024,,,,,,,
TETOUAN SUPRATOURS,ESSAOUIRA SUPRATOURS,01/08/2024,,,,,,,
TETOUAN SUPRATOURS,FES,01/08/2024,06h10,11h17,265 DH,correspondance 1 : 06h50 à Gare TANGER VILLE - correspondance 01h10 Min - départ 08h00,correspondance 2 : 08h50 à Gare KENITRA - correspondance 12 Min - départ 09h02,pas de correspondance,pas de correspondance
TETOUAN SUPRATOURS,FES,01/08/2024,08h15,13h20,265 DH,correspondance 1 : 09h25 à Gare TANGER VILLE - correspondance 35 Min - départ 10h00,correspondance 2 : 10h50 à Gare KENITRA - correspondance 12 Min - départ 11h02,pas de correspondance,pas de correspondance
TETOUAN SUPRATOURS,FES,01/08/2024,12h15,17h22,265 DH,correspondance 1 : 13h25 à Gare TANGER VILLE - correspondance 35 Min - départ 14h00,correspondance 2 : 14h50 à Gare KENITRA - correspondance 12 Min - départ 15h02,pas de correspondance,pas de correspondance
TETOUAN SUPRATOURS,FES,01/08/2024,14h15,19h23,265 DH,correspondance 1 : 15h25 à Gare TANGER VILLE - correspondance 35 Min - départ 16h00,correspondance 2 : 16h50 à Gare KENITRA - correspondance 12 Min - départ 17h02,pas de correspondance,pas de correspondance
TETOUAN SUPRATOURS,FES,01/08/2024,15h15,20h25,265 DH,correspondance 1 : 16h25 à Gare TANGER VILLE - correspondance 35 Min - départ 17h00,correspondance 2 : 17h50 à Gare KENITRA - correspondance 12 Min - départ 18h02,pas de correspondance,pas de correspondance
TETOUAN SUPRATOURS,FES,01/08/2024,16h15,21h23,265 DH,correspondance 1 : 17h25 à Gare TANGER VILLE - correspondance 35 Min - départ 18h00,correspondance 2 : 18h50 à Gare KENITRA - correspondance 12 Min - départ 19h02,pas de correspondance,pas de correspondance
TETOUAN SUPRATOURS,FES,01/08/2024,18h15,23h20,265 DH,correspondance 1 : 19h25 à Gare TANGER VILLE - correspondance 35 Min - départ 20h00,correspondance 2 : 20h50 à Gare KENITRA - correspondance 12 Min - départ 21h02,pas de correspondance,pas de correspondance
TETOUAN SUPRATOURS,GUELMIMA,01/08/2024,,,,,,,
TETOUAN SUPRATOURS,KENITRA,01/08/2024,06h10,08h50,225 DH,correspondance 1 : 06h50 à Gare TANGER VILLE - correspondance 01h10 Min - départ 08h00,pas de correspondance,pas de correspondance,pas de correspondance
TETOUAN SUPRATOURS,KENITRA,01/08/2024,08h15,10h50,225 DH,correspondance 1 : 09h25 à Gare TANGER VILLE - correspondance 35 Min - départ 10h00,pas de correspondance,pas de correspondance,pas de correspondance
TETOUAN SUPRATOURS,KENITRA,01/08/2024,12h15,14h50,225 DH,correspondance 1 : 13h25 à Gare TANGER VILLE - correspondance 35 Min - départ 14h00,pas de correspondance,pas de correspondance,pas de correspondance
TETOUAN SUPRATOURS,KENITRA,01/08/2024,14h15,16h50,225 DH,correspondance 1 : 15h25 à Gare TANGER VILLE - correspondance 35 Min - départ 16h00,pas de correspondance,pas de correspondance,pas de correspondance
TETOUAN SUPRATOURS,KENITRA,01/08/2024,15h15,17h50,225 DH,correspondance 1 : 16h25 à Gare TANGER VILLE - correspondance 35 Min - départ 17h00,pas de correspondance,pas de correspondance,pas de correspondance
TETOUAN SUPRATOURS,KENITRA,01/08/2024,16h15,18h50,225 DH,correspondance 1 : 17h25 à Gare TANGER VILLE - correspondance 35 Min - départ 18h00,pas de correspondance,pas de correspondance,pas de correspondance
TETOUAN SUPRATOURS,KENITRA,01/08/2024,18h15,20h50,225 DH,correspondance 1 : 19h25 à Gare TANGER VILLE - correspondance 35 Min - départ 20h00,pas de correspondance,pas de correspondance,pas de correspondance
TETOUAN SUPRATOURS,KHOURIBGA,01/08/2024,,,,,,,
TETOUAN SUPRATOURS,LAAYOUNE SUPRATOURS,01/08/2024,,,,,,,
TETOUAN SUPRATOURS,MARRAKECH,01/08/2024,06h10,13h14,415 DH,correspondance 1 : 06h50 à Gare TANGER VILLE - correspondance 01h10 Min - départ 08h00,correspondance 2 : 10h10 à Gare CASA VOYAGEURS - correspondance 25 Min - départ 10h35,pas de correspondance,pas de correspondance
TETOUAN SUPRATOURS,MARRAKECH,01/08/2024,12h15,19h14,415 DH,correspondance 1 : 13h25 à Gare TANGER VILLE - correspondance 35 Min - départ 14h00,correspondance 2 : 16h10 à Gare CASA VOYAGEURS - correspondance 25 Min - départ 16h35,pas de correspondance,pas de correspondance
TETOUAN SUPRATOURS,MARRAKECH,01/08/2024,14h15,21h14,415 DH,correspondance 1 : 15h25 à Gare TANGER VILLE - correspondance 35 Min - départ 16h00,correspondance 2 : 18h10 à Gare CASA VOYAGEURS - correspondance 25 Min - départ 18h35,pas de correspondance,pas de correspondance
TETOUAN SUPRATOURS,MARRAKECH,01/08/2024,15h15,22h14,415 DH,correspondance 1 : 16h25 à Gare TANGER VILLE - correspondance 35 Min - départ 17h00,correspondance 2 : 19h10 à Gare CASA VOYAGEURS - correspondance 25 Min - départ 19h35,pas de correspondance,pas de correspondance
TETOUAN SUPRATOURS,MARRAKECH,01/08/2024,16h15,23h14,415 DH,correspondance 1 : 17h25 à Gare TANGER VILLE - correspondance 35 Min - départ 18h00,correspondance 2 : 20h10 à Gare CASA VOYAGEURS - correspondance 25 Min - départ 20h35,pas de correspondance,pas de correspondance
TETOUAN SUPRATOURS,MARTIL,01/08/2024,09h30,10h00,20 DH,pas de correspondance,pas de correspondance,pas de correspondance,pas de correspondance
TETOUAN SUPRATOURS,MARTIL,01/08/2024,11h30,12h00,20 DH,pas de correspondance,pas de correspondance,pas de correspondance,pas de correspondance
TETOUAN SUPRATOURS,MARTIL,01/08/2024,12h10,13h00,20 DH,pas de correspondance,pas de correspondance,pas de correspondance,pas de correspondance
TETOUAN SUPRATOURS,MARTIL,01/08/2024,13h30,14h00,20 DH,pas de correspondance,pas de correspondance,pas de correspondance,pas de correspondance
TETOUAN SUPRATOURS,MARTIL,01/08/2024,15h30,16h00,20 DH,pas de correspondance,pas de correspondance,pas de correspondance,pas de correspondance
TETOUAN SUPRATOURS,MARTIL,01/08/2024,17h30,18h00,20 DH,pas de correspondance,pas de correspondance,pas de correspondance,pas de correspondance
TETOUAN SUPRATOURS,MARTIL,01/08/2024,18h30,19h00,20 DH,pas de correspondance,pas de correspondance,pas de correspondance,pas de correspondance
TETOUAN SUPRATOURS,MARTIL,01/08/2024,20h10,21h00,20 DH,pas de correspondance,pas de correspondance,pas de correspondance,pas de correspondance
TETOUAN SUPRATOURS,MARTIL,01/08/2024,22h30,23h00,20 DH,pas de correspondance,pas de correspondance,pas de correspondance,pas de correspondance
TETOUAN SUPRATOURS,MEKNES,01/08/2024,06h10,10h37,255 DH,correspondance 1 : 06h50 à Gare TANGER VILLE - correspondance 01h10 Min - départ 08h00,correspondance 2 : 08h50 à Gare KENITRA - correspondance 12 Min - départ 09h02,pas de correspondance,pas de correspondance
TETOUAN SUPRATOURS,MEKNES,01/08/2024,08h15,12h37,255 DH,correspondance 1 : 09h25 à Gare TANGER VILLE - correspondance 35 Min - départ 10h00,correspondance 2 : 10h50 à Gare KENITRA - correspondance 12 Min - départ 11h02,pas de correspondance,pas de correspondance
TETOUAN SUPRATOURS,MEKNES,01/08/2024,12h15,16h37,255 DH,correspondance 1 : 13h25 à Gare TANGER VILLE - correspondance 35 Min - départ 14h00,correspondance 2 : 14h50 à Gare KENITRA - correspondance 12 Min - départ 15h02,pas de correspondance,pas de correspondance
TETOUAN SUPRATOURS,MEKNES,01/08/2024,14h15,18h40,255 DH,correspondance 1 : 15h25 à Gare TANGER VILLE - correspondance 35 Min - départ 16h00,correspondance 2 : 16h50 à Gare KENITRA - correspondance 12 Min - départ 17h02,pas de correspondance,pas de correspondance
