gare de depart,gare d'arrivee,date de voyage,heure de depart,heure d'arrivee,prix,correspondance 1,correspondance 2,correspondance 3,correspondance 4
GUELMIMA,ADDAKHLA SUPRATOURS,01/08/2024,,,,,,,
GUELMIMA,AGADIR (SUPRAT.),01/08/2024,,,,,,,
GUELMIMA,BENGUERIR,01/08/2024,,,,,,,
GUELMIMA,CASA PORT,01/08/2024,,,,,,,
GUELMIMA,CASA VOYAGEURS,01/08/2024,,,,,,,
GUELMIMA,EL JADIDA,01/08/2024,,,,,,,
GUELMIMA,ESSAOUIRA SUPRATOURS,01/08/2024,,,,,,,
GUELMIMA,FES,01/08/2024,,,,,,,
GUELMIMA,KENITRA,01/08/2024,,,,,,,
GUELMIMA,KHOURIBGA,01/08/2024,,,,,,,
GUELMIMA,LAAYOUNE SUPRATOURS,01/08/2024,,,,,,,
GUELMIMA,MARRAKECH,01/08/2024,,,,,,,
GUELMIMA,MARTIL,01/08/2024,,,,,,,
GUELMIMA,MEKNES,01/08/2024,,,,,,,
GUELMIMA,MIDELT (SUPRAT.),01/08/2024,,,,,,,
GUELMIMA,MOHAMMEDIA,01/08/2024,,,,,,,
GUELMIMA,OUJDA,01/08/2024,,,,,,,
GUELMIMA,TETOUAN SUPRATOURS,01/08/2024,,,,,,,
GUELMIMA,RABAT AGDAL,01/08/2024,,,,,,,
GUELMIMA,RABAT VILLE,01/08/2024,,,,,,,
GUELMIMA,SAFI,01/08/2024,,,,,,,
GUELMIMA,SALE,01/08/2024,,,,,,,
GUELMIMA,SETTAT,01/08/2024,,,,,,,
GUELMIMA,TANGER,01/08/2024,,,,,,,
KENITRA,ADDAKHLA SUPRATOURS,01/08/2024,,,,,,,
KENITRA,AGADIR (SUPRAT.),01/08/2024,07h53,16h14,375 DH,correspondance 1 : 09h10 à Station CASA VOYAGEURS - correspondance 25 Min - départ 09h35,correspondance 2 : 12h14 à Station MARRAKECH - correspondance 31 Min - départ 12h45,pas de correspondance,pas de correspondance
KENITRA,AGADIR (SUPRAT.),01/08/2024,08h00,16h14,350 DH,correspondance 1 : 12h14 à Station MARRAKECH - correspondance 31 Min - départ 12h45,pas de correspondance,pas de correspondance,pas de correspondance
KENITRA,AGADIR (SUPRAT.),01/08/2024,08h53,18h15,375 DH,correspondance 1 : 10h10 à Station CASA VOYAGEURS - correspondance 25 Min - départ 10h35,correspondance 2 : 13h14 à Station MARRAKECH - correspondance 01h31 Min - départ 14h45,pas de correspondance,pas de correspondance
KENITRA,AGADIR (SUPRAT.),01/08/2024,09h00,18h15,350 DH,correspondance 1 : 13h14 à Station MARRAKECH - correspondance 01h31 Min - départ 14h45,pas de correspondance,pas de correspondance,pas de correspondance
KENITRA,AGADIR (SUPRAT.),01/08/2024,11h00,19h15,365 DH,correspondance 1 : 15h14 à Station MARRAKECH - correspondance 31 Min - départ 15h45,pas de correspondance,pas de correspondance,pas de correspondance
KENITRA,AGADIR (SUPRAT.),01/08/2024,11h53,20h15,375 DH,correspondance 1 : 13h10 à Station CASA VOYAGEURS - correspondance 25 Min - départ 13h35,correspondance 2 : 16h14 à Station MARRAKECH - correspondance 31 Min - départ 16h45,pas de correspondance,pas de correspondance
