gare de depart	gare d'arrivee	heure de depart	heure d'arrivee	prix	correspondance 1	correspondance 2	correspondance 3	correspondance 4
MARRAKECH	ADDAKHLA SUPRATOURS	05h00	06h00	660 DH	pas de correspondance	pas de correspondance	pas de correspondance	pas de correspondance
MARRAKECH	ADDAKHLA SUPRATOURS	15h30	15h00	660 DH	pas de correspondance	pas de correspondance	pas de correspondance	pas de correspondance
MARRAKECH	ADDAKHLA SUPRATOURS	21h00	20h30	660 DH	pas de correspondance	pas de correspondance	pas de correspondance	pas de correspondance
MARRAKECH	AGADIR (SUPRAT.)	05h00	10h14	135 DH	pas de correspondance	pas de correspondance	pas de correspondance	pas de correspondance
MARRAKECH	AGADIR (SUPRAT.)	08h30	12h00	135 DH	pas de correspondance	pas de correspondance	pas de correspondance	pas de correspondance
MARRAKECH	AGADIR (SUPRAT.)	10h00	13h29	135 DH	pas de correspondance	pas de correspondance	pas de correspondance	pas de correspondance
MARRAKECH	AGADIR (SUPRAT.)	11h45	15h14	135 DH	pas de correspondance	pas de correspondance	pas de correspondance	pas de correspondance
MARRAKECH	AGADIR (SUPRAT.)	12h45	16h14	135 DH	pas de correspondance	pas de correspondance	pas de correspondance	pas de correspondance
MARRAKECH	AGADIR (SUPRAT.)	14h00	17h30	135 DH	pas de correspondance	pas de correspondance	pas de correspondance	pas de correspondance
MARRAKECH	AGADIR (SUPRAT.)	14h45	18h15	135 DH	pas de correspondance	pas de correspondance	pas de correspondance	pas de correspondance
MARRAKECH	AGADIR (SUPRAT.)	15h45	19h15	150 DH	pas de correspondance	pas de correspondance	pas de correspondance	pas de correspondance
MARRAKECH	AGADIR (SUPRAT.)	16h45	20h15	135 DH	pas de correspondance	pas de correspondance	pas de correspondance	pas de correspondance
MARRAKECH	AGADIR (SUPRAT.)	18h45	22h15	135 DH	pas de correspondance	pas de correspondance	pas de correspondance	pas de correspondance
MARRAKECH	AGADIR (SUPRAT.)	20h00	23h30	135 DH	pas de correspondance	pas de correspondance	pas de correspondance	pas de correspondance
MARRAKECH	AGADIR (SUPRAT.)	21h00	00h28	135 DH	pas de correspondance	pas de correspondance	pas de correspondance	pas de correspondance
MARRAKECH	AGADIR (SUPRAT.)	22h45	02h30	135 DH	pas de correspondance	pas de correspondance	pas de correspondance	pas de correspondance
MARRAKECH	BENGUERIR	04h50	05h34	40 DH	pas de correspondance	pas de correspondance	pas de correspondance	pas de correspondance
MARRAKECH	BENGUERIR	05h50	06h34	45 DH	pas de correspondance	pas de correspondance	pas de correspondance	pas de correspondance
MARRAKECH	BENGUERIR	06h50	07h34	40 DH	pas de correspondance	pas de correspondance	pas de correspondance	pas de correspondance
MARRAKECH	BENGUERIR	07h50	08h34	40 DH	pas de correspondance	pas de correspondance	pas de correspondance	pas de correspondance
MARRAKECH	BENGUERIR	08h50	09h34	40 DH	pas de correspondance	pas de correspondance	pas de correspondance	pas de correspondance
MARRAKECH	BENGUERIR	09h50	10h34	45 DH	pas de correspondance	pas de correspondance	pas de correspondance	pas de correspondance
MARRAKECH	BENGUERIR	10h50	11h34	40 DH	pas de correspondance	pas de correspondance	pas de correspondance	pas de correspondance
MARRAKECH	BENGUERIR	11h50	12h34	45 DH	pas de correspondance	pas de correspondance	pas de correspondance	pas de correspondance
MARRAKECH	BENGUERIR	12h50	13h34	40 DH	pas de correspondance	pas de correspondance	pas de correspondance	pas de correspondance
MARRAKECH	BENGUERIR	13h50	14h34	40 DH	pas de correspondance	pas de correspondance	pas de correspondance	pas de correspondance
MARRAKECH	BENGUERIR	14h50	15h34	40 DH	pas de correspondance	pas de correspondance	pas de correspondance	pas de correspondance
MARRAKECH	BENGUERIR	15h50	16h34	40 DH	pas de correspondance	pas de correspondance	pas de correspondance	pas de correspondance
MARRAKECH	BENGUERIR	16h50	17h34	45 DH	pas de correspondance	pas de correspondance	pas de correspondance	pas de correspondance
MARRAKECH	BENGUERIR	17h50	18h34	45 DH	pas de correspondance	pas de correspondance	pas de correspondance	pas de correspondance
MARRAKECH	BENGUERIR	19h00	19h44	40 DH	pas de correspondance	pas de correspondance	pas de correspondance	pas de correspondance
MARRAKECH	CASA PORT							
MARRAKECH	CASA VOYAGEURS	04h50	07h28	120 DH	pas de correspondance	pas de correspondance	pas de correspondance	pas de correspondance
MARRAKECH	CASA VOYAGEURS	05h50	08h28	120 DH	pas de correspondance	pas de correspondance	pas de correspondance	pas de correspondance
MARRAKECH	CASA VOYAGEURS	06h50	09h28	120 DH	pas de correspondance	pas de correspondance	pas de correspondance	pas de correspondance
MARRAKECH	CASA VOYAGEURS	07h50	10h28	120 DH	pas de correspondance	pas de correspondance	pas de correspondance	pas de correspondance
MARRAKECH	CASA VOYAGEURS	08h50	11h28	120 DH	pas de correspondance	pas de correspondance	pas de correspondance	pas de correspondance
MARRAKECH	CASA VOYAGEURS	09h50	12h28	120 DH	pas de correspondance	pas de correspondance	pas de correspondance	pas de correspondance
